symbol,baseAsset,quoteAsset,openPrice,lowPrice,highPrice,lastPrice,volume,bidPrice,askPrice,at
roseinr,rose,inr,8.1,7.6891,8.4107,7.9501,36915.6,7.9901,8.2402,1719240917000
agldinr,agld,inr,93.4,92.0,107.93,92.0,1134.3,92.01,98.0,1719240917000
keyinr,key,inr,0.54795,0.49,0.54795,0.49,16978,0.49,0.51879,1719240917000
slpinr,slp,inr,0.2933,0.2701,0.2933,0.2799,227618,0.2702,0.2799,1719240917000
auctioninr,auction,inr,1510,1510.0,1510.7,1510.0,2.16,1520.0,1732.0,1719240917000
oceaninr,ocean,inr,55.731,50.0,58.999,52.001,1549,52.009,57.389,1719240917000
superinr,super,inr,60.626,58.001,65.0,64.999,1689,59.0,64.999,1719240917000
betainr,beta,inr,4.3581,3.751,4.3581,3.8499,4488,3.751,3.8476,1719240917000
waxpinr,waxp,inr,3.885,3.403,3.887,3.768,10358,3.406,3.699,1719240917000
arinr,ar,inr,2500,2325.01,2573.9,2564.99,84.92,2350.01,2564.99,1719240917000
sushiinr,sushi,inr,74,71.0,74.0,72.39,604.025,72.39,73.55,1719240917000
mkrinr,mkr,inr,220666.93,198348.18,220666.93,199819.71,0.4130400000000001,198000.0,217304.38,1719240917000
galainr,gala,inr,2.5728,2.4252,2.62,2.4747,461096,2.4601,2.526,1719240917000
tlminr,tlm,inr,1.1101,1.0717,1.1706,1.1005,106679,1.1005,1.1542,1719240917000
ensinr,ens,inr,2266.7,2010.1,2266.7,2100.0,63.980000000000004,2010.1,2199.9,1719240917000
ctxcinr,ctxc,inr,21.699,19.009,21.89,21.86,3365,19.5,21.86,1719240918000
mboxinr,mbox,inr,21.9,20.52,21.9,20.52,6113.5,20.52,21.07,1719240918000
ookiinr,ooki,inr,0.159,0.15,0.1616,0.1548,6394216,0.1546,0.1576,1719240918000
ampinr,amp,inr,0.4555,0.4222,0.4576,0.4309,217970,0.4292,0.4348,1719240918000
nearinr,near,inr,470.006,454.927,509.721,483.53,779.6060000000001,474.313,485.552,1719240918000
ardrinr,ardr,inr,6.1,5.88,6.1,5.8801,690,5.8801,5.9,1719240918000
grtinr,grt,inr,19.208,18.251,20.389,19.27,3828.3,19.007,19.27,1719240918000
bttcinr,bttc,inr,0.0000806,0.0000765,0.0000819,0.000077,4978007232,0.0000768,0.000077,1719240918000
creaminr,cream,inr,6300.34,6300.34,7000.65,6603.66,44.035,6350.0,6477.4,1719240918000
bicoinr,bico,inr,34.31,32.0,34.9,33.37,3923.2299999999996,32.97,33.47,1719240918000
spellinr,spell,inr,0.065,0.060787,0.067335,0.06225,3611598,0.060641,0.06243,1719240918000
qntinr,qnt,inr,6644,6644.0,7449.0,7198.0,2.069,6625.0,7177.0,1719240918000
duskinr,dusk,inr,29.799,27.775,29.799,27.775,23.06,27.775,28.896,1719240918000
jasmyinr,jasmy,inr,2.8,2.61,2.805,2.66,465327.9000000001,2.626,2.663,1719240918000
tfuelinr,tfuel,inr,6.9267,6.4199,7.0295,6.4199,7168,6.4199,6.4205,1719240918000
kncinr,knc,inr,50.15,49.0,51.12,50.0,307.09999999999997,48.67,51.25,1719240918000
dodoinr,dodo,inr,12.52,10.79,12.52,11.35,5288.173,11.12,11.26,1719240918000
achinr,ach,inr,2.0204,1.98,2.1499,2.0709,15004,1.9992,2.0709,1719240918000
idexinr,idex,inr,4.1,3.9,4.17,4.1,46171,3.9,4.1,1719240918000
celoinr,celo,inr,55.95,51.37,55.95,55.9,293.6,51.92,55.9,1719240918000
tinr,t,inr,2.2362,2.02,2.2362,2.05,9382,2.02,2.1,1719240918000
pyrinr,pyr,inr,312.5,312.0,312.5,312.5,0,313.0,369.9,1719240918000
imxinr,imx,inr,138.55,135.0,142.01,135.0,899.5799999999999,135.0,140.76,1719240918000
bakeinr,bake,inr,32.042,25.402,32.042,25.476,65439.100000000006,25.468,27.049,1719240918000
neoinr,neo,inr,1011,1000.0,1132.99,1098.0,22.055,990.36,1098.0,1719240918000
apeinr,ape,inr,84.9,80.117,85.783,83.948,1340.3099999999997,84.004,86.349,1719240918000
wooinr,woo,inr,19.5,18.5,20.0,19.41,2993.6000000000004,19.41,19.899,1719240918000
ankrinr,ankr,inr,3.2289,2.6003,3.2289,2.8247,16620,2.697,2.8247,1719240918000
oxtinr,oxt,inr,7.94,7.267,7.95,7.267,2497.9900000000002,7.267,7.89,1719240918000
rndrinr,rndr,inr,660,630.0,684.8,667.57,875.92,656.19,685.1,1719240918000
gmtinr,gmt,inr,15.499,14.1,15.499,15.4,2217.1,14.15,15.4,1719240918000
reiinr,rei,inr,4.7101,4.1282,5.0093,4.1282,2661.8999999999996,4.2524,4.8979,1719240918000
lptinr,lpt,inr,1550,1425.0,1748.9,1425.0,35.23,1450.1,1709.9,1719240918000
ygginr,ygg,inr,57.06,53.0,61.99,53.0,1265.8999999999999,53.0,60.0,1719240918000
opinr,op,inr,168,157.0,170.0,167.99,798.9299999999998,161.2,167.98,1719240918000
leverinr,lever,inr,0.1989,0.17,0.1989,0.1885,1040624,0.1801,0.1882,1719240918000
ldoinr,ldo,inr,201.73,185.0,201.73,201.23,306.12,181.03,200.45,1719240918000
polyxinr,polyx,inr,30.064,28.0,30.064,28.0,6760,27.0,29.989,1719240918000
usdcinr,usdc,inr,88.5,88.5,90.94,89.13,15748.87,89.13,90.02,1719240918000
hifiinr,hifi,inr,43.587,41.0,45.972,41.017,2138,41.01,45.799,1719240918000
gftinr,gft,inr,1.7537,1.7005,1.7653,1.71,118352.29999999999,1.71,1.7484,1719240918000
blurinr,blur,inr,22.62,21.5,23.291,23.197,2701.0683000000004,21.815,23.292,1719240918000
flokiinr,floki,inr,0.01525,0.0139,0.01542,0.01494,312720304,0.01482,0.01494,1719240918000
briseinr,brise,inr,0.00001163,0.000011,0.0000119,0.00001139,59137012505,0.00001135,0.00001139,1719240918000
arbinr,arb,inr,75.484,72.255,76.999,76.499,6171.6,73.165,76.493,1719240918000
injinr,inj,inr,1969.757,1885.0,2000.187,1971.761,116.98999999999998,1924.803,1971.467,1719240918000
pepeinr,pepe,inr,0.0010398,0.00095,0.0010336,0.0009642,7681386906,0.0009617,0.0009642,1719240918000
bobinr,bob,inr,0.0034883,0.0030622,0.0035,0.0031099,788202697,0.003091,0.0031099,1719240918000
comboinr,combo,inr,61,58.011,65.0,58.011,443,58.011,64.99,1719240918000
aaveinr,aave,inr,7449,7200.0,7449.0,7448.96,27.939999999999998,7151.01,7448.94,1719240918000
