symbol,date,predicted_price
atombtc,2024-06-23,0.0001011
bnbbtc,2024-06-22,0.0087001
bnbbtc,2024-06-23,0.0087001
wrxbtc,2024-06-22,2.06e-06
wrxbtc,2024-06-23,2.06e-06
stmxbtc,2024-06-22,7e-08
stmxbtc,2024-06-23,7e-08
btcusdt,2024-06-22,63898.0
btcusdt,2024-06-23,63898.0
trxusdt,2024-06-22,0.11623
trxusdt,2024-06-23,0.11623
xrpusdt,2024-06-22,0.486
xrpusdt,2024-06-23,0.486
eosusdt,2024-06-22,0.98
eosusdt,2024-06-23,0.98
ethusdt,2024-06-22,3491.85
ethusdt,2024-06-23,3491.85
icxusdt,2024-06-22,0.15
icxusdt,2024-06-23,0.15
ltcusdt,2024-06-22,78.89
ltcusdt,2024-06-23,78.89
hotusdt,2024-06-22,0.0020977
hotusdt,2024-06-23,0.0020977
batusdt,2024-06-22,0.2379
batusdt,2024-06-23,0.2379
dashusdt,2024-06-22,24.1
dashusdt,2024-06-23,24.1
qkcusdt,2024-06-22,0.00718
qkcusdt,2024-06-23,0.00718
zilusdt,2024-06-22,0.02599
zilusdt,2024-06-23,0.02599
zrxusdt,2024-06-22,0.34
zrxusdt,2024-06-23,0.34
bchusdt,2024-06-22,375.24
bchusdt,2024-06-23,375.24
bchsvusdt,2024-06-22,50.53
bchsvusdt,2024-06-23,50.53
omgusdt,2024-06-22,0.4106
omgusdt,2024-06-23,0.4106
dentusdt,2024-06-22,0.000999
dentusdt,2024-06-23,0.000999
iostusdt,2024-06-22,0.00671
iostusdt,2024-06-23,0.00671
funusdt,2024-06-22,0.004748
funusdt,2024-06-23,0.004748
sntusdt,2024-06-22,0.026
sntusdt,2024-06-23,0.026
thetausdt,2024-06-22,1.4966
thetausdt,2024-06-23,1.4966
requsdt,2024-06-22,0.10242
requsdt,2024-06-23,0.10242
xlmusdt,2024-06-22,0.093
xlmusdt,2024-06-23,0.093
xtzusdt,2024-06-22,0.789
xtzusdt,2024-06-23,0.789
fetusdt,2024-06-22,1.3503
fetusdt,2024-06-23,1.3503
tfuelusdt,2024-06-22,0.07059
tfuelusdt,2024-06-23,0.07059
celrusdt,2024-06-22,0.01648
celrusdt,2024-06-23,0.01648
maticusdt,2024-06-22,0.58979
maticusdt,2024-06-23,0.58979
adausdt,2024-06-22,0.3775
adausdt,2024-06-23,0.3775
rvnusdt,2024-06-22,0.02025
rvnusdt,2024-06-23,0.02025
xmrusdt,2024-06-22,167.23
xmrusdt,2024-06-23,167.23
atomusdt,2024-06-22,6.954
atomusdt,2024-06-23,6.954
algousdt,2024-06-22,0.14
algousdt,2024-06-23,0.14
linkusdt,2024-06-22,14.2244
linkusdt,2024-06-23,14.2244
qtumusdt,2024-06-22,2.52
qtumusdt,2024-06-23,2.52
etcusdt,2024-06-22,23.587
etcusdt,2024-06-23,23.587
iotausdt,2024-06-22,0.1806
iotausdt,2024-06-23,0.1806
zecusdt,2024-06-22,19.871
zecusdt,2024-06-23,19.871
wavesusdt,2024-06-22,0.9941
wavesusdt,2024-06-23,0.9941
ftmusdt,2024-06-22,0.60997
ftmusdt,2024-06-23,0.60997
enjusdt,2024-06-22,0.1973
enjusdt,2024-06-23,0.1973
lskusdt,2024-06-22,1.0387
lskusdt,2024-06-23,1.0387
steemusdt,2024-06-22,0.1916
steemusdt,2024-06-23,0.1916
xvgusdt,2024-06-22,0.00418
xvgusdt,2024-06-23,0.00418
loomusdt,2024-06-22,0.07685
loomusdt,2024-06-23,0.07685
manausdt,2024-06-22,0.33775
manausdt,2024-06-23,0.33775
blzusdt,2024-06-22,0.24
blzusdt,2024-06-23,0.24
scusdt,2024-06-22,0.00442
scusdt,2024-06-23,0.00442
xemusdt,2024-06-22,0.0146
xemusdt,2024-06-23,0.0146
btsusdt,2024-06-22,0.00266
btsusdt,2024-06-23,0.00266
ardrusdt,2024-06-22,0.067
ardrusdt,2024-06-23,0.067
winusdt,2024-06-22,8.9e-05
winusdt,2024-06-23,8.9e-05
bnbusdt,2024-06-22,580.0
bnbusdt,2024-06-23,580.0
chzusdt,2024-06-22,0.07505
chzusdt,2024-06-23,0.07505
wrxusdt,2024-06-22,0.14715
wrxusdt,2024-06-23,0.14715
kavausdt,2024-06-22,0.4796
kavausdt,2024-06-23,0.4796
ankrusdt,2024-06-22,0.028001
ankrusdt,2024-06-23,0.028001
oneusdt,2024-06-22,0.01524
oneusdt,2024-06-23,0.01524
ognusdt,2024-06-22,0.0743
ognusdt,2024-06-23,0.0743
hiveusdt,2024-06-22,0.2158
hiveusdt,2024-06-23,0.2158
fttusdt,2024-06-22,1.47
fttusdt,2024-06-23,1.47
bandusdt,2024-06-22,1.6277
bandusdt,2024-06-23,1.6277
jstusdt,2024-06-22,0.02734
jstusdt,2024-06-23,0.02734
ctsiusdt,2024-06-22,0.15994
ctsiusdt,2024-06-23,0.15994
chrusdt,2024-06-22,0.27
chrusdt,2024-06-23,0.27
stxusdt,2024-06-22,1.6075
stxusdt,2024-06-23,1.6075
stmxusdt,2024-06-22,0.005783
stmxusdt,2024-06-23,0.005783
mdtusdt,2024-06-22,0.05028
mdtusdt,2024-06-23,0.05028
lrcusdt,2024-06-22,0.162
lrcusdt,2024-06-23,0.162
dogeusdt,2024-06-22,0.1237391
dogeusdt,2024-06-23,0.1237391
neousdt,2024-06-22,11.49
neousdt,2024-06-23,11.49
hbarusdt,2024-06-22,0.07894
hbarusdt,2024-06-23,0.07894
storjusdt,2024-06-22,0.3551
storjusdt,2024-06-23,0.3551
compusdt,2024-06-22,48.01
compusdt,2024-06-23,48.01
cotiusdt,2024-06-22,0.091
cotiusdt,2024-06-23,0.091
dgbusdt,2024-06-22,0.00787
dgbusdt,2024-06-23,0.00787
snxusdt,2024-06-22,1.985
snxusdt,2024-06-23,1.985
renusdt,2024-06-22,0.04684
renusdt,2024-06-23,0.04684
sxpusdt,2024-06-22,0.2578
sxpusdt,2024-06-23,0.2578
mkrusdt,2024-06-22,2400.0
mkrusdt,2024-06-23,2400.0
avausdt,2024-06-22,0.8086
avausdt,2024-06-23,0.8086
balusdt,2024-06-22,3.6
balusdt,2024-06-23,3.6
srmusdt,2024-06-22,0.05206
srmusdt,2024-06-23,0.05206
egldusdt,2024-06-22,28.58
egldusdt,2024-06-23,28.58
cosusdt,2024-06-22,0.00742
cosusdt,2024-06-23,0.00742
dotusdt,2024-06-22,5.6246
dotusdt,2024-06-23,5.6246
yfiusdt,2024-06-22,7299.17
yfiusdt,2024-06-23,7299.17
iotxusdt,2024-06-22,0.04355
iotxusdt,2024-06-23,0.04355
sandusdt,2024-06-22,0.31
sandusdt,2024-06-23,0.31
uniusdt,2024-06-22,10.0
uniusdt,2024-06-23,10.0
datausdt,2024-06-22,0.043
datausdt,2024-06-23,0.043
paxgusdt,2024-06-22,2307.62
paxgusdt,2024-06-23,2307.62
creamusdt,2024-06-22,66.0
creamusdt,2024-06-23,66.0
umausdt,2024-06-22,2.5
umausdt,2024-06-23,2.5
ksmusdt,2024-06-22,23.81
ksmusdt,2024-06-23,23.81
trbusdt,2024-06-22,101.824
trbusdt,2024-06-23,101.824
adxusdt,2024-06-22,0.1641
adxusdt,2024-06-23,0.1641
aaveusdt,2024-06-22,80.0
aaveusdt,2024-06-23,80.0
